H26,OD6953 - ONL5976 - ON5926 - OD6954,UGL Rail,Eveleigh
H27,OD6955 - ONL5977 - ON5927 - OD6956,UGL Rail,Eveleigh
H28,OD6957 - ONL5978 - ON5928 - OD6958,UGL Rail,Eveleigh
H29,OD6959 - ONL5979 - ON5929 - OD6960,UGL Rail,Eveleigh
H30,OD6961 - ONL5980 - ON5930 - OD6962,UGL Rail,Eveleigh
H31,OD6963 - ONL5981 - ON5931 - OD6964,UGL Rail,Eveleigh
H32,OD6965 - ONL5982 - ON5932 - OD6966,UGL Rail,Eveleigh
H33,OD6967 - ONL5983 - ON5933 - OD6968,UGL Rail,Eveleigh
H34,OD6969 - ONL5984 - ON5934 - OD6970,UGL Rail,Eveleigh
H35,OD6971 - ONL5985 - ON5935 - OD6972,UGL Rail,Eveleigh
H36,OD6973 - ONL5986 - ON5936 - OD6974,UGL Rail,Eveleigh
H37,OD6975 - ONL5987 - ON5937 - OD6976,UGL Rail,Eveleigh
H38,OD6977 - ONL5988 - ON5938 - OD6978,UGL Rail,Eveleigh
H39,OD6979 - ONL5989 - ON5939 - OD6980,UGL Rail,Eveleigh
H40,OD6981 - ONL5990 - ON5940 - OD6982,UGL Rail,Eveleigh
H41,OD6983 - ONL5991 - ON5941 - OD6984,UGL Rail,Eveleigh
H42,OD6985 - ONL5992 - ON5942 - OD6986,UGL Rail,Eveleigh
H43,OD6987 - ONL5993 - ON5943 - OD6988,UGL Rail,Eveleigh
H44,OD6989 - ONL5994 - ON5944 - OD6990,UGL Rail,Eveleigh
H45,OD6991 - ONL5995 - ON5945 - OD6992,UGL Rail,Eveleigh
H46,OD6993 - ONL5996 - ON5946 - OD6994,UGL Rail,Eveleigh
H47,OD6995 - ONL5997 - ON5947 - OD6996,UGL Rail,Eveleigh
H48,OD6997 - ONL5998 - ON5948 - OD6998,UGL Rail,Eveleigh
H49,OD6921 - ONL5999 - ON5949 - OD6922,UGL Rail,Eveleigh
H50,OD6843 - ONL5871 - ON5821 - OD6844,UGL Rail,Eveleigh
H51,OD6845 - ONL5872 - ON5822 - OD6846,UGL Rail,Eveleigh,Set involved in collision with Toyota Hilux at Unanderra .
H52,OD6847 - ONL5873 - ON5823 - OD6848,UGL Rail,Eveleigh
H53,OD6849 - ONL5874 - ON5824 - OD6850,UGL Rail,Eveleigh
H54,OD6851 - ONL5875 - ON5825 - OD6852,UGL Rail,Eveleigh
H55,OD6853 - ONL5876 - ON5826 - OD6854,UGL Rail,Eveleigh,"OD6853 and ONL5876 with 2019 ""Koori Knockout"" Aboriginal-styled decals Final H-Set delivered"
M1,D1001 - N1501 - N1502 - D1002,EDI Rail,(formerly Eveleigh),Set has inside of doors coloured grey instead of white
M2,D1003 - N1503 - N1504 - D1004,EDI Rail,(formerly Eveleigh)
M3,D1005 - N1505 - N1506 - D1006,EDI Rail,(formerly Eveleigh),First M Set to enter service
M4,D1007 - N1507 - N1508 - D1008,EDI Rail,(formerly Eveleigh)
M5,D1009 - N1509 - N1510 - D1010,EDI Rail,(formerly Eveleigh)
M6,D1011 - N1511 - N1512 - D1012,EDI Rail,(formerly Eveleigh)
M7,D1013 - N1513 - N1514 - D1014,EDI Rail,(formerly Eveleigh)
M8,D1015 - N1515 - N1516 - D1016,EDI Rail,(formerly Eveleigh)
M9,D1017 - N1517 - N1518 - D1018,EDI Rail,(formerly Eveleigh)
M10,D1019 - N1519 - N1520 - D1020,EDI Rail,(formerly Eveleigh)
M11,D1021 - N1521 - N1522 - D1022,EDI Rail,(formerly Eveleigh)
M12,D1023 - N1523 - N1524 - D1024,EDI Rail,(formerly Eveleigh)
M13,D1025 - N1525 - N1526 - D1026,EDI Rail,(formerly Eveleigh)
M14,D1041 - N1527 - N1528 - D1028,EDI Rail,(formerly Eveleigh),D1027 replaced by D1041 due to damage from a shunting incident in 2011
M15,D1029 - N1529 - N1530 - D1030,EDI Rail,(formerly Eveleigh)
M16,D1031 - N1531 - N1532 - D1032,EDI Rail,(formerly Eveleigh)
M17,D1034 - N1534 - N1535 - D1035,EDI Rail,(formerly Eveleigh)
M18,D1036 - N1536 - N1537 - D1037,EDI Rail,(formerly Eveleigh)
M19,D1037 - N1537 - N1538 - D1038,EDI Rail,(formerly Eveleigh)
M20,D1039 - N1539 - N1540 - D1540,EDI Rail,(formerly Eveleigh)
M21,D1043 - N1543 - N1544 - D1044,EDI Rail,(formerly Eveleigh)
M22,D1045 - N1545 - N1546 - D1046,EDI Rail,(formerly Eveleigh)
M23,D1047 - N1547 - N1548 - D1048,EDI Rail,(formerly Eveleigh)
M24,D1049 - N1549 - N1550 - D1050,EDI Rail,(formerly Eveleigh)
M25,D1051 - N1551 - N1552 - D1052,EDI Rail,(formerly Eveleigh)
M26,D1052 - N1526 - N1527 - D1053,EDI Rail,(formerly Eveleigh)
M27,D1055 - N1555 - N1556 - D1056,EDI Rail,(formerly Eveleigh)
M28,D1057 - N1557 - N1558 - D1058,EDI Rail,(formerly Eveleigh),Former ATP test train
M29,D1059 - N1559 - N1560 - D1060,EDI Rail,(formerly Eveleigh)
M30,D1062 - N1562 - N1563 - D1063,EDI Rail,(formerly Eveleigh),Ran last revenue service for the Carlingford Line on 4 January 2020
M31,D1064 - N1564 - N1565 - D1065,EDI Rail,(formerly Eveleigh)
M32,D1066 - N1566 - N1567 - D1067,EDI Rail,(formerly Eveleigh)
M33,D1068 - N1568 - N1569 - D1069,EDI Rail,(formerly Eveleigh)
M34,D1070 - N1570 - N1571 - D1071,EDI Rail,(formerly Eveleigh)
M35,D1072 - N1572 - N1573 - D1073,EDI Rail,(formerly Eveleigh)
T1,D6105 - N5105 - N5106 - D6106,Goninan,Mortdale,D6148 replaced D6106 after 2009 Homebush derailment. D6106 was stripped for spare parts before being repaired and reinstated. Permanently coupled to T104
T2,D6119 - N5119 - N5141 - D6141,Goninan,Mortdale,Permanently coupled to T4
T3,D6253 - N5253 - N5254 - D6254,Goninan,Mortdale,Permanently coupled to T127
T4,D6136 - N5136 - N5137 - D6137,Goninan,Mortdale,Permanently coupled to T2
T5,D6118 - N5118 - N5140 - D6140,Goninan,Mortdale,Permanently coupled to T53
T6,D6175 - N5175 - N5146 - D6176,Goninan,Mortdale,Permanently coupled to T34
T7,D6191 - N5191 - N5192 - D6192,Goninan,Mortdale,Permanently coupled to T48
T8,D6217 - N5217 - N5218 - D6218,Goninan,Mortdale,Permanently coupled to T42
T9,D6219 - N5219 - N5220 - D6220,Goninan,Mortdale,Permanently coupled to T16
T10,D6221 - N5221 - N5222 - D6222,Goninan,Mortdale,"Set involved in January 2014 derailment at Edgecliff , with detached guard rail piercing through floor of N5222. Permanently coupled to T63"
T11,D6163 - N5163 - N5164 - D6164,Goninan,Mortdale,Ex T82. Permanently coupled to T24
T12,D6247 - N5247 - N5248 - D6248,Goninan,Mortdale,Permanently coupled to T65
T13,D6252 - N5249 - N5250 - D6250,Goninan,Mortdale,Carriage D6249 replaced by D6252 (ex T14/T121). Former ATP testing vehicle. Permanently coupled to T121
T14,D6251 - N5251 - N5854 - D6808,Goninan,Mortdale,N5252 and D6252 swapped with D6808 and N5854 from T121. Permanently coupled to T109
T15,D6239 - N5239 - N5240 - D6240,Goninan,Mortdale,Permanently coupled to T50
T16,D6108 - N5241 - N5242 - D6242,Goninan,Mortdale,D6108 replacing D6241 which was written off and stripped for spare parts Permanently coupled to T9
T17,D6243 - N5243 - N5244 - D6244,Goninan,Mortdale,Permanently coupled to T122
T18,D6121 - N5121 - N5122 - D6122,Goninan,Mortdale,Permanently coupled to T77
T19,D6146 - N5176 - N5285 - D6285,Goninan,Mortdale,"D6285 and N5285 replaced D6127 and N5127, which were both written off after 1989 Wentworthville derailment. Permanently coupled to T35. First sets fitted with a buffer to prevent train-surfing"
T20,D6101 - N5101 - N5102 - D6102,Goninan,Mortdale,First T Set to enter service. Permanently coupled to T67
T21,D6120 - N5120 - N5142 - D6142,Goninan,Mortdale,Permanently coupled to T78
